Date,Primary Type,Latitude,Longitude
3/6/2015 17:45,CRIMINAL TRESPASS,41.86119122,-87.69378896
3/6/2015 17:40,CRIMINAL TRESPASS,41.77256498,-87.64445392
3/6/2015 17:40,OTHER OFFENSE,41.94324094,-87.66815491
3/6/2015 17:36,NARCOTICS,41.88356325,-87.72683319
3/6/2015 17:34,THEFT,41.93168819,-87.74301815
3/6/2015 17:30,THEFT,41.88348008,-87.62773003
3/6/2015 17:30,BATTERY,41.72739793,-87.605951
3/6/2015 17:30,OTHER OFFENSE,,
3/6/2015 17:30,MOTOR VEHICLE THEFT,41.84645302,-87.68714228
3/6/2015 17:30,DECEPTIVE PRACTICE,41.89164779,-87.62430529
3/6/2015 17:22,CRIMINAL TRESPASS,41.93700182,-87.72064869
3/6/2015 17:20,BATTERY,41.77510567,-87.76748297
3/6/2015 17:20,DECEPTIVE PRACTICE,41.76385677,-87.67000732
3/6/2015 17:16,OFFENSE INVOLVING CHILDREN,41.7225591,-87.56086522
3/6/2015 17:15,THEFT,41.95358252,-87.74320217
3/6/2015 17:13,THEFT,41.89578383,-87.67796964
3/6/2015 17:12,THEFT,41.95442364,-87.65132226
3/6/2015 17:10,DECEPTIVE PRACTICE,41.87222471,-87.67945137
3/6/2015 17:03,WEAPONS VIOLATION,41.75001306,-87.56700062
3/6/2015 17:03,PUBLIC PEACE VIOLATION,41.74623814,-87.54808203
3/6/2015 17:00,THEFT,41.75141415,-87.58597463
3/6/2015 17:00,NARCOTICS,41.96548797,-87.65916862
3/6/2015 17:00,ASSAULT,41.77510567,-87.76748297
3/6/2015 17:00,OTHER OFFENSE,41.89143763,-87.75145057
3/6/2015 17:00,MOTOR VEHICLE THEFT,41.89124465,-87.74857657
3/6/2015 17:00,CRIMINAL DAMAGE,41.93741353,-87.79337692
3/6/2015 17:00,MOTOR VEHICLE THEFT,41.93945744,-87.67879436
3/6/2015 17:00,THEFT,41.98024602,-87.66381255
3/6/2015 17:00,THEFT,41.99843505,-87.67720805
3/6/2015 17:00,BURGLARY,41.94108058,-87.67854252
3/6/2015 17:00,MOTOR VEHICLE THEFT,41.85543431,-87.66355219
3/6/2015 17:00,CRIMINAL DAMAGE,41.80564414,-87.74080588
3/6/2015 17:00,THEFT,41.81609882,-87.61421096
3/6/2015 16:50,BATTERY,41.80064602,-87.7085481
3/6/2015 16:50,BATTERY,41.78950086,-87.67310924
3/6/2015 16:45,CRIMINAL TRESPASS,41.7470382,-87.65378918
3/6/2015 16:45,BATTERY,41.84619844,-87.70156121
3/6/2015 16:45,OTHER OFFENSE,41.93541138,-87.65729502
3/6/2015 16:41,NARCOTICS,41.73070892,-87.55141819
3/6/2015 16:30,THEFT,41.80548726,-87.70008707
3/6/2015 16:30,BURGLARY,41.7955669,-87.69714824
3/6/2015 16:30,THEFT,41.73121146,-87.63633046
3/6/2015 16:30,BATTERY,41.904792,-87.76146088
3/6/2015 16:30,ASSAULT,41.85446284,-87.71137589
3/6/2015 16:30,THEFT,41.87834201,-87.62669965
3/6/2015 16:30,BATTERY,42.00456852,-87.70822359
3/6/2015 16:30,THEFT,41.74930745,-87.58274854
3/6/2015 16:30,THEFT,41.84063946,-87.63309276
3/6/2015 16:28,CRIMINAL TRESPASS,41.91861046,-87.76558134
3/6/2015 16:22,OTHER OFFENSE,41.82732754,-87.63724081
3/6/2015 16:22,BATTERY,41.99682548,-87.70339921
3/6/2015 16:20,CRIMINAL TRESPASS,41.77585835,-87.6706169
3/6/2015 16:16,THEFT,41.92099047,-87.69715321
3/6/2015 16:15,OFFENSE INVOLVING CHILDREN,41.73074283,-87.5455341
3/6/2015 16:15,CRIMINAL DAMAGE,41.94857853,-87.77929175
3/6/2015 16:14,OTHER OFFENSE,41.89317489,-87.76518227
3/6/2015 16:13,BATTERY,41.76186384,-87.56467142
3/6/2015 16:10,THEFT,41.84996747,-87.71437409
3/6/2015 16:10,CRIMINAL TRESPASS,41.98146898,-87.79275845
3/6/2015 16:08,BATTERY,41.86497733,-87.7045483
3/6/2015 16:08,DECEPTIVE PRACTICE,41.78128854,-87.72298021
3/6/2015 16:00,BATTERY,41.9853749,-87.65539106
3/6/2015 16:00,BURGLARY,41.7530042,-87.58319656
3/6/2015 16:00,BATTERY,41.95366656,-87.73557671
3/6/2015 16:00,OFFENSE INVOLVING CHILDREN,41.90573477,-87.75846218
3/6/2015 16:00,DECEPTIVE PRACTICE,41.78587869,-87.64236073
3/6/2015 16:00,OTHER OFFENSE,41.76692553,-87.63854295
3/6/2015 16:00,THEFT,41.89857474,-87.73371791
3/6/2015 16:00,DECEPTIVE PRACTICE,41.94053695,-87.76449371
3/6/2015 16:00,BURGLARY,41.7521562,-87.57858515
3/6/2015 16:00,ASSAULT,41.86168419,-87.72855981
3/6/2015 16:00,OFFENSE INVOLVING CHILDREN,41.98629626,-87.69697792
3/6/2015 16:00,OTHER OFFENSE,41.95874086,-87.70680029
3/6/2015 16:00,BATTERY,41.77949048,-87.649784
3/6/2015 16:00,BATTERY,41.73113921,-87.63482551
3/6/2015 15:55,CRIMINAL DAMAGE,41.77401508,-87.67267785
3/6/2015 15:55,BATTERY,41.91039739,-87.74871041
3/6/2015 15:55,THEFT,41.99743335,-87.70065985
3/6/2015 15:52,BATTERY,41.80962858,-87.6073507
3/6/2015 15:47,PUBLIC PEACE VIOLATION,41.85832811,-87.72133416
3/6/2015 15:45,CRIMINAL DAMAGE,41.96063979,-87.67731283
3/6/2015 15:45,CRIMINAL DAMAGE,41.9191031,-87.70826475
3/6/2015 15:40,BATTERY,41.85247973,-87.66419232
3/6/2015 15:40,MOTOR VEHICLE THEFT,42.01528673,-87.67522805
3/6/2015 15:30,ASSAULT,41.82000151,-87.62620047
3/6/2015 15:30,PUBLIC PEACE VIOLATION,41.89459356,-87.72498421
3/6/2015 15:30,CRIMINAL DAMAGE,41.80826119,-87.68864131
3/6/2015 15:30,ROBBERY,41.95944595,-87.71690784
3/6/2015 15:30,OTHER OFFENSE,41.7681685,-87.65041007
3/6/2015 15:30,OFFENSE INVOLVING CHILDREN,41.69272473,-87.6044232
3/6/2015 15:30,MOTOR VEHICLE THEFT,,
3/6/2015 15:30,BURGLARY,41.74646983,-87.6211155
3/6/2015 15:25,NARCOTICS,41.97002276,-87.76600021
3/6/2015 15:25,CRIMINAL DAMAGE,41.74311676,-87.65289248
3/6/2015 15:24,WEAPONS VIOLATION,41.75827393,-87.61639992
3/6/2015 15:22,CRIMINAL TRESPASS,41.79978626,-87.72320447
3/6/2015 15:15,THEFT,41.9263234,-87.78569468
3/6/2015 15:15,THEFT,41.87276761,-87.62433775
3/6/2015 15:14,NARCOTICS,41.7816388,-87.61551274
3/6/2015 15:12,CRIMINAL TRESPASS,41.85274387,-87.69270956
3/6/2015 15:10,OTHER OFFENSE,41.86019963,-87.70807518
3/6/2015 15:09,OTHER OFFENSE,41.88676043,-87.76494898
3/6/2015 15:00,DECEPTIVE PRACTICE,41.79514184,-87.70468128
3/6/2015 15:00,ASSAULT,41.93410137,-87.6561916
3/6/2015 15:00,CRIMINAL TRESPASS,41.7744302,-87.70912521
3/6/2015 15:00,OFFENSE INVOLVING CHILDREN,41.94267263,-87.6601074
3/6/2015 15:00,BURGLARY,41.70943806,-87.61275307
3/6/2015 15:00,THEFT,41.83080244,-87.61462249
3/6/2015 15:00,THEFT,41.8075153,-87.64293156
3/6/2015 14:55,NARCOTICS,41.85770627,-87.72257348
3/6/2015 14:55,BATTERY,41.8000238,-87.61787852
3/6/2015 14:53,OTHER OFFENSE,41.78284513,-87.5945524
3/6/2015 14:50,BATTERY,41.94164654,-87.7323552
3/6/2015 14:50,BATTERY,41.93923435,-87.67577172
3/6/2015 14:47,NARCOTICS,41.75893255,-87.64925451
3/6/2015 14:45,OTHER OFFENSE,41.93033927,-87.7611519
3/6/2015 14:40,ASSAULT,41.95577691,-87.71895053
3/6/2015 14:35,ASSAULT,41.79991336,-87.66610379
3/6/2015 14:30,CRIMINAL DAMAGE,41.76471186,-87.65153171
3/6/2015 14:30,THEFT,41.88455236,-87.62805976
3/6/2015 14:30,BATTERY,41.7693824,-87.59509547
3/6/2015 14:30,OFFENSE INVOLVING CHILDREN,41.74523655,-87.65587856
3/6/2015 14:17,CRIMINAL TRESPASS,41.76498593,-87.59294656
3/6/2015 14:15,OTHER OFFENSE,41.77626922,-87.61567161
3/6/2015 14:15,DECEPTIVE PRACTICE,41.92982252,-87.68460372
3/6/2015 14:10,THEFT,41.69120493,-87.71705907
3/6/2015 14:04,WEAPONS VIOLATION,41.90543476,-87.75719015
3/6/2015 14:02,NARCOTICS,41.66088805,-87.55915445
3/6/2015 14:02,DECEPTIVE PRACTICE,41.96168294,-87.67068394
3/6/2015 14:00,NARCOTICS,41.93980892,-87.65333415
3/6/2015 14:00,NARCOTICS,41.9028285,-87.7207551
3/6/2015 14:00,NARCOTICS,41.75653532,-87.66344533
3/6/2015 14:00,THEFT,41.85210053,-87.68906384
3/6/2015 14:00,ASSAULT,41.75252399,-87.64731058
3/6/2015 14:00,BURGLARY,41.99335194,-87.67322852
3/6/2015 14:00,THEFT,41.89329775,-87.63426248
3/6/2015 14:00,THEFT,41.88554042,-87.62808194
3/6/2015 14:00,THEFT,41.75066701,-87.60380105
3/6/2015 14:00,OTHER OFFENSE,41.98787906,-87.65517322
3/6/2015 14:00,THEFT,41.91253998,-87.75836438
3/6/2015 13:56,STALKING,41.7251768,-87.65654358
3/6/2015 13:55,ROBBERY,41.7372692,-87.58290339
3/6/2015 13:51,NARCOTICS,41.65490259,-87.61406017
3/6/2015 13:50,BATTERY,41.87357542,-87.74931045
3/6/2015 13:46,THEFT,41.94675051,-87.66385804
3/6/2015 13:45,THEFT,41.87939352,-87.64165165
3/6/2015 13:44,DECEPTIVE PRACTICE,41.86154874,-87.72733129
3/6/2015 13:40,NARCOTICS,41.9642061,-87.65492059
3/6/2015 13:30,THEFT,41.93980044,-87.65422004
3/6/2015 13:30,DECEPTIVE PRACTICE,41.88138999,-87.62789624
3/6/2015 13:30,NARCOTICS,41.87251487,-87.71754554
3/6/2015 13:30,THEFT,41.87927124,-87.63414732
3/6/2015 13:30,DECEPTIVE PRACTICE,41.83106989,-87.61745952
3/6/2015 13:30,THEFT,41.73133156,-87.55419863
3/6/2015 13:30,THEFT,41.88138864,-87.62633926
3/6/2015 13:30,BATTERY,41.76451323,-87.68793581
3/6/2015 13:30,THEFT,41.78684738,-87.66508426
3/6/2015 13:26,BATTERY,41.65476725,-87.60867891
3/6/2015 13:25,NARCOTICS,41.75219497,-87.56006655
3/6/2015 13:25,BATTERY,41.80054898,-87.62246444
3/6/2015 13:20,NARCOTICS,42.01213018,-87.69206568
3/6/2015 13:20,THEFT,41.86764684,-87.63058794
3/6/2015 13:15,THEFT,41.93972089,-87.63862938
3/6/2015 13:15,NARCOTICS,41.88444899,-87.73613421
3/6/2015 13:15,ASSAULT,41.75162076,-87.56610929
3/6/2015 13:15,ASSAULT,41.88489866,-87.75048165
3/6/2015 13:13,THEFT,41.75097236,-87.61700156
3/6/2015 13:13,OTHER OFFENSE,41.78844966,-87.74051322
3/6/2015 13:11,NARCOTICS,41.67595246,-87.63555067
3/6/2015 13:10,BURGLARY,41.79515724,-87.73532093
3/6/2015 13:00,THEFT,41.91087521,-87.65821895
3/6/2015 13:00,ASSAULT,41.88274416,-87.62453593
3/6/2015 13:00,ASSAULT,41.88408216,-87.73052999
3/6/2015 13:00,CRIMINAL DAMAGE,41.9093138,-87.73125886
3/6/2015 13:00,THEFT,41.85831242,-87.62547388
3/6/2015 13:00,DECEPTIVE PRACTICE,41.92579035,-87.80250005
3/6/2015 13:00,THEFT,41.95625358,-87.77918484
3/6/2015 13:00,BATTERY,41.80306465,-87.7219777
3/6/2015 13:00,ASSAULT,41.75965891,-87.64268606
3/6/2015 13:00,ASSAULT,41.69213742,-87.66585308
3/6/2015 13:00,CRIMINAL DAMAGE,41.77855012,-87.61573417
3/6/2015 12:58,NARCOTICS,41.7216024,-87.6406688
3/6/2015 12:55,THEFT,41.76635737,-87.57558156
3/6/2015 12:50,WEAPONS VIOLATION,41.73701712,-87.65351745
3/6/2015 12:48,CRIMINAL TRESPASS,41.87586174,-87.74134007
3/6/2015 12:45,WEAPONS VIOLATION,41.84009434,-87.61767087
3/6/2015 12:45,ROBBERY,41.79801835,-87.7430509
3/6/2015 12:40,THEFT,41.97496681,-87.89841791
3/6/2015 12:40,BATTERY,41.76759253,-87.63856508
3/6/2015 12:35,BATTERY,41.89040158,-87.76763449
3/6/2015 12:30,ASSAULT,41.86087999,-87.72853434
3/6/2015 12:30,THEFT,41.88031411,-87.62787502
3/6/2015 12:30,BURGLARY,41.71248901,-87.61132357
3/6/2015 12:20,BATTERY,41.8087214,-87.66449751
3/6/2015 12:20,OTHER OFFENSE,41.73716637,-87.57559872
3/6/2015 12:20,BATTERY,41.82743145,-87.66773338
3/6/2015 12:20,PUBLIC PEACE VIOLATION,41.75559993,-87.61491238
3/6/2015 12:17,OTHER OFFENSE,41.89518441,-87.68452832
3/6/2015 12:15,BURGLARY,41.8745323,-87.72173036
3/6/2015 12:15,THEFT,41.74923612,-87.60405911
3/6/2015 12:15,CRIMINAL TRESPASS,41.87939793,-87.62659988
3/6/2015 12:14,NARCOTICS,41.86699419,-87.72334418
3/6/2015 12:05,ASSAULT,41.75198068,-87.66454448
3/6/2015 12:03,NARCOTICS,41.87798746,-87.68620413
3/6/2015 12:00,DECEPTIVE PRACTICE,41.7952616,-87.67176292
3/6/2015 12:00,NARCOTICS,41.89783079,-87.74856792
3/6/2015 12:00,MOTOR VEHICLE THEFT,41.7436287,-87.65826261
